 14:14:06 up 40 min,  1 user,  load average: 0,70, 0,82, 0,71
 14:14:07 up 40 min,  1 user,  load average: 0,70, 0,82, 0,71
 14:14:08 up 40 min,  1 user,  load average: 0,72, 0,82, 0,71
 14:14:09 up 40 min,  1 user,  load average: 0,72, 0,82, 0,71
 14:14:10 up 40 min,  1 user,  load average: 0,72, 0,82, 0,71
 14:14:11 up 40 min,  1 user,  load average: 0,72, 0,82, 0,71
 14:14:12 up 40 min,  1 user,  load average: 0,72, 0,82, 0,71
 14:14:13 up 40 min,  1 user,  load average: 0,66, 0,81, 0,70
 14:14:14 up 40 min,  1 user,  load average: 0,66, 0,81, 0,70
 14:14:15 up 40 min,  1 user,  load average: 0,66, 0,81, 0,70
 14:14:16 up 40 min,  1 user,  load average: 0,66, 0,81, 0,70
 14:14:17 up 40 min,  1 user,  load average: 0,66, 0,81, 0,70
 14:14:18 up 40 min,  1 user,  load average: 0,69, 0,81, 0,71
 14:14:19 up 40 min,  1 user,  load average: 0,69, 0,81, 0,71
 14:14:20 up 40 min,  1 user,  load average: 0,69, 0,81, 0,71
 14:14:21 up 40 min,  1 user,  load average: 0,69, 0,81, 0,71
 14:14:22 up 41 min,  1 user,  load average: 0,69, 0,81, 0,71
 14:14:23 up 41 min,  1 user,  load average: 0,64, 0,80, 0,70
 14:14:24 up 41 min,  1 user,  load average: 0,64, 0,80, 0,70
 14:14:25 up 41 min,  1 user,  load average: 0,64, 0,80, 0,70
 14:14:26 up 41 min,  1 user,  load average: 0,64, 0,80, 0,70
 14:14:27 up 41 min,  1 user,  load average: 0,64, 0,80, 0,70
 14:14:28 up 41 min,  1 user,  load average: 0,67, 0,80, 0,70
 14:14:29 up 41 min,  1 user,  load average: 0,67, 0,80, 0,70
 14:14:30 up 41 min,  1 user,  load average: 0,67, 0,80, 0,70
 14:14:31 up 41 min,  1 user,  load average: 0,67, 0,80, 0,70
 14:14:32 up 41 min,  1 user,  load average: 0,67, 0,80, 0,70
 14:14:33 up 41 min,  1 user,  load average: 0,61, 0,79, 0,70
 14:14:34 up 41 min,  1 user,  load average: 0,61, 0,79, 0,70
 14:14:35 up 41 min,  1 user,  load average: 0,61, 0,79, 0,70
 14:14:36 up 41 min,  1 user,  load average: 0,61, 0,79, 0,70
 14:14:37 up 41 min,  1 user,  load average: 0,61, 0,79, 0,70
 14:14:38 up 41 min,  1 user,  load average: 0,56, 0,78, 0,70
 14:14:39 up 41 min,  1 user,  load average: 0,56, 0,78, 0,70
 14:14:40 up 41 min,  1 user,  load average: 0,56, 0,78, 0,70
 14:14:41 up 41 min,  1 user,  load average: 0,56, 0,78, 0,70
 14:14:42 up 41 min,  1 user,  load average: 0,56, 0,78, 0,70
 14:14:43 up 41 min,  1 user,  load average: 0,60, 0,78, 0,70
 14:14:44 up 41 min,  1 user,  load average: 0,60, 0,78, 0,70
