 14:47:07 up  1:13,  1 user,  load average: 2,23, 1,41, 1,12
 14:47:08 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:09 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:10 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:11 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:12 up  1:13,  1 user,  load average: 2,13, 1,40, 1,12
 14:47:13 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:14 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:15 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:16 up  1:13,  1 user,  load average: 2,04, 1,39, 1,12
 14:47:17 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:18 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:19 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:20 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:21 up  1:13,  1 user,  load average: 1,95, 1,39, 1,12
 14:47:22 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:23 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:24 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:25 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:26 up  1:14,  1 user,  load average: 1,88, 1,38, 1,12
 14:47:27 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:28 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:29 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:30 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:31 up  1:14,  1 user,  load average: 1,81, 1,37, 1,12
 14:47:32 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:34 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:35 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:36 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:37 up  1:14,  1 user,  load average: 1,74, 1,37, 1,12
 14:47:38 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:39 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:40 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:41 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:42 up  1:14,  1 user,  load average: 1,76, 1,38, 1,12
 14:47:43 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:44 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:45 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:46 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:47 up  1:14,  1 user,  load average: 1,70, 1,37, 1,12
 14:47:48 up  1:14,  1 user,  load average: 1,73, 1,38, 1,12
 14:47:49 up  1:14,  1 user,  load average: 1,73, 1,38, 1,12
 14:47:50 up  1:14,  1 user,  load average: 1,73, 1,38, 1,12
 14:47:51 up  1:14,  1 user,  load average: 1,73, 1,38, 1,12
 14:47:52 up  1:14,  1 user,  load average: 1,73, 1,38, 1,12
 14:47:53 up  1:14,  1 user,  load average: 1,75, 1,39, 1,13
 14:47:54 up  1:14,  1 user,  load average: 1,75, 1,39, 1,13
 14:47:55 up  1:14,  1 user,  load average: 1,75, 1,39, 1,13
 14:47:56 up  1:14,  1 user,  load average: 1,75, 1,39, 1,13
 14:47:57 up  1:14,  1 user,  load average: 1,75, 1,39, 1,13
 14:47:58 up  1:14,  1 user,  load average: 1,69, 1,38, 1,13
 14:47:59 up  1:14,  1 user,  load average: 1,69, 1,38, 1,13
 14:48:00 up  1:14,  1 user,  load average: 1,69, 1,38, 1,13
 14:48:01 up  1:14,  1 user,  load average: 1,69, 1,38, 1,13
 14:48:02 up  1:14,  1 user,  load average: 1,69, 1,38, 1,13
 14:48:03 up  1:14,  1 user,  load average: 1,71, 1,39, 1,13
 14:48:04 up  1:14,  1 user,  load average: 1,71, 1,39, 1,13
 14:48:05 up  1:14,  1 user,  load average: 1,71, 1,39, 1,13
 14:48:06 up  1:14,  1 user,  load average: 1,71, 1,39, 1,13
 14:48:07 up  1:14,  1 user,  load average: 1,71, 1,39, 1,13
 14:48:08 up  1:14,  1 user,  load average: 1,66, 1,39, 1,13
 14:48:09 up  1:14,  1 user,  load average: 1,66, 1,39, 1,13
 14:48:10 up  1:14,  1 user,  load average: 1,66, 1,39, 1,13
 14:48:11 up  1:14,  1 user,  load average: 1,66, 1,39, 1,13
 14:48:12 up  1:14,  1 user,  load average: 1,66, 1,39, 1,13
 14:48:13 up  1:14,  1 user,  load average: 1,60, 1,38, 1,13
 14:48:14 up  1:14,  1 user,  load average: 1,60, 1,38, 1,13
 14:48:15 up  1:14,  1 user,  load average: 1,60, 1,38, 1,13
 14:48:16 up  1:14,  1 user,  load average: 1,60, 1,38, 1,13
 14:48:17 up  1:14,  1 user,  load average: 1,60, 1,38, 1,13
 14:48:18 up  1:14,  1 user,  load average: 1,56, 1,37, 1,13
 14:48:19 up  1:14,  1 user,  load average: 1,56, 1,37, 1,13
 14:48:20 up  1:14,  1 user,  load average: 1,56, 1,37, 1,13
 14:48:21 up  1:14,  1 user,  load average: 1,56, 1,37, 1,13
 14:48:22 up  1:15,  1 user,  load average: 1,56, 1,37, 1,13
 14:48:23 up  1:15,  1 user,  load average: 1,59, 1,39, 1,14
 14:48:24 up  1:15,  1 user,  load average: 1,59, 1,39, 1,14
 14:48:25 up  1:15,  1 user,  load average: 1,59, 1,39, 1,14
 14:48:26 up  1:15,  1 user,  load average: 1,59, 1,39, 1,14
 14:48:27 up  1:15,  1 user,  load average: 1,59, 1,39, 1,14
 14:48:28 up  1:15,  1 user,  load average: 1,54, 1,38, 1,13
 14:48:29 up  1:15,  1 user,  load average: 1,54, 1,38, 1,13
 14:48:30 up  1:15,  1 user,  load average: 1,54, 1,38, 1,13
 14:48:31 up  1:15,  1 user,  load average: 1,54, 1,38, 1,13
 14:48:32 up  1:15,  1 user,  load average: 1,54, 1,38, 1,13
 14:48:33 up  1:15,  1 user,  load average: 1,50, 1,37, 1,13
 14:48:34 up  1:15,  1 user,  load average: 1,50, 1,37, 1,13
 14:48:35 up  1:15,  1 user,  load average: 1,50, 1,37, 1,13
 14:48:36 up  1:15,  1 user,  load average: 1,50, 1,37, 1,13
 14:48:37 up  1:15,  1 user,  load average: 1,50, 1,37, 1,13
 14:48:38 up  1:15,  1 user,  load average: 1,46, 1,37, 1,13
 14:48:39 up  1:15,  1 user,  load average: 1,46, 1,37, 1,13
 14:48:40 up  1:15,  1 user,  load average: 1,46, 1,37, 1,13
 14:48:41 up  1:15,  1 user,  load average: 1,46, 1,37, 1,13
 14:48:42 up  1:15,  1 user,  load average: 1,50, 1,38, 1,14
 14:48:43 up  1:15,  1 user,  load average: 1,50, 1,38, 1,14
 14:48:44 up  1:15,  1 user,  load average: 1,50, 1,38, 1,14
 14:48:45 up  1:15,  1 user,  load average: 1,50, 1,38, 1,14
 14:48:46 up  1:15,  1 user,  load average: 1,50, 1,38, 1,14
 14:48:47 up  1:15,  1 user,  load average: 1,54, 1,39, 1,14
 14:48:48 up  1:15,  1 user,  load average: 1,54, 1,39, 1,14
 14:48:49 up  1:15,  1 user,  load average: 1,54, 1,39, 1,14
 14:48:51 up  1:15,  1 user,  load average: 1,54, 1,39, 1,14
 14:48:52 up  1:15,  1 user,  load average: 1,54, 1,39, 1,14
 14:48:53 up  1:15,  1 user,  load average: 1,58, 1,40, 1,15
 14:48:54 up  1:15,  1 user,  load average: 1,58, 1,40, 1,15
 14:48:55 up  1:15,  1 user,  load average: 1,58, 1,40, 1,15
 14:48:56 up  1:15,  1 user,  load average: 1,58, 1,40, 1,15
 14:48:57 up  1:15,  1 user,  load average: 1,58, 1,40, 1,15
 14:48:58 up  1:15,  1 user,  load average: 1,53, 1,39, 1,15
 14:48:59 up  1:15,  1 user,  load average: 1,53, 1,39, 1,15
 14:49:00 up  1:15,  1 user,  load average: 1,53, 1,39, 1,15
 14:49:01 up  1:15,  1 user,  load average: 1,53, 1,39, 1,15
 14:49:02 up  1:15,  1 user,  load average: 1,53, 1,39, 1,15
 14:49:03 up  1:15,  1 user,  load average: 1,49, 1,38, 1,14
 14:49:04 up  1:15,  1 user,  load average: 1,49, 1,38, 1,14
 14:49:05 up  1:15,  1 user,  load average: 1,49, 1,38, 1,14
 14:49:06 up  1:15,  1 user,  load average: 1,49, 1,38, 1,14
 14:49:07 up  1:15,  1 user,  load average: 1,49, 1,38, 1,14
 14:49:08 up  1:15,  1 user,  load average: 1,45, 1,38, 1,14
 14:49:09 up  1:15,  1 user,  load average: 1,45, 1,38, 1,14
